Algorithm,evn_n,states,cost_e1,cost_e2,time,solution_found
BFS,19,681,20,28,0.0031595230102539062,True
DFS,19,6533,1086,3551,0.09242367744445801,True
DFS Limit 10,19,108,0,0,0.0010004043579101562,False
UCS,19,463,20,28,0.002000093460083008,True
Random Walk,19,1000,1000,2507,0.004000663757324219,False
A*,19,90,20,28,0.0,True
BFS,20,3129,44,104,0.0180056095123291,True
DFS,20,2097,290,961,0.020003557205200195,True
DFS Limit 10,20,134,0,0,0.0,False
UCS,20,6753,44,104,0.032099246978759766,True
Random Walk,20,1000,1000,2456,0.002881765365600586,False
A*,20,1360,44,104,0.0,True
BFS,21,7080,91,193,0.03900861740112305,True
DFS,21,3443,1291,4237,0.06522226333618164,True
DFS Limit 10,21,110,0,0,0.0010001659393310547,False
UCS,21,13504,91,193,0.08211636543273926,True
Random Walk,21,1000,1000,2486,0.003000974655151367,False
A*,21,5053,91,193,0.0010001659393310547,True
BFS,22,6572,91,348,0.04701066017150879,True
DFS,22,8297,547,1804,0.18804216384887695,True
DFS Limit 10,22,143,0,0,0.0,False
UCS,22,14701,91,348,0.0780174732208252,True
Random Walk,22,1000,1000,2500,0.0020003318786621094,False
A*,22,7017,91,348,0.0,True
BFS,23,7226,103,308,0.040009260177612305,True
DFS,23,3991,761,2575,0.06501460075378418,True
DFS Limit 10,23,97,0,0,0.0,False
UCS,23,11889,103,308,0.05501222610473633,True
Random Walk,23,1000,1000,2501,0.0030007362365722656,False
A*,23,5669,103,308,0.0,True
BFS,24,5942,63,75,0.029006481170654297,True
DFS,24,5726,1881,6110,0.11102485656738281,True
DFS Limit 10,24,124,0,0,0.0,False
UCS,24,3937,63,75,0.01800370216369629,True
Random Walk,24,1000,1000,2493,0.002000570297241211,False
A*,24,479,63,75,0.0,True
BFS,25,3329,43,91,0.017003774642944336,True
DFS,25,8049,851,2723,0.13102936744689941,True
DFS Limit 10,25,138,0,0,0.0,False
UCS,25,5342,43,91,0.024005413055419922,True
Random Walk,25,1000,1000,2510,0.0020003318786621094,False
A*,25,1205,43,91,0.0,True
BFS,26,3054,44,106,0.017003774642944336,True
DFS,26,2382,1212,3990,0.041815757751464844,True
DFS Limit 10,26,117,0,0,0.0010001659393310547,False
UCS,26,4928,44,106,0.021004676818847656,True
Random Walk,26,1000,1000,2523,0.0020008087158203125,False
A*,26,1271,44,106,0.0,True
BFS,27,7131,83,213,0.03700852394104004,True
DFS,27,8225,665,2130,0.1691150665283203,True
DFS Limit 10,27,169,0,0,0.0,False
UCS,27,13808,83,213,0.06203579902648926,True
Random Walk,27,1000,1000,2517,0.0029997825622558594,False
A*,27,5707,83,213,0.0,True
BFS,28,5999,62,218,0.02972245216369629,True
DFS,28,5272,372,1255,0.06443643569946289,True
DFS Limit 10,28,135,0,0,0.0,False
UCS,28,14312,62,218,0.0628046989440918,True
Random Walk,28,1000,1000,2507,0.0030007362365722656,False
A*,28,5096,62,218,0.0,True
BFS,29,8887,125,312,0.04901123046875,True
DFS,29,4525,1079,3639,0.06801533699035645,True
DFS Limit 10,29,121,0,0,0.0010004043579101562,False
UCS,29,16166,125,312,0.07501673698425293,True
Random Walk,29,1000,1000,2528,0.0020008087158203125,False
A*,29,7053,125,312,0.0,True
